label	text_a
0	Fbk  hlt  a  new  framework  for  semantic  textual  similarity.  This  paper  reports  the  description  and  performance  of  our  system,  FBK-HLT,  participating  in  the  SemEval  2015,  Task  #2  “Semantic  Textual  Similarity”,  English  subtask.  We  submitted  three  runs  with  different  hypothesis  in  combining  typical  features  (lexical  similarity,  string  similarity,  word  n-grams,  etc)  with  syntactic  structure  features,  resulting  in  different  sets  of  features.  The  results  evaluated  on  both  STS  2014  and  2015  datasets  prove  our  hypothesis  of  building  a  STS  system  taking  into  consideration  of  syntactic  information.  We  outperform  the  best  system  on  STS  2014  datasets  and  achieve  a  very  competitive  result  to  the  best  system  on  STS  2015  datasets.
0	Duth  at  semeval  2018  task  2  emoji  prediction  in  tweets.  This  paper  describes  the  approach  that  was  developed  for  SemEval  2018  Task  2  (Multilingual  Emoji  Prediction)  by  the  DUTH  Team.  First,  we  employed  a  combination  of  pre-processing  techniques  to  reduce  the  noise  of  tweets  and  produce  a  number  of  features.  Then,  we  built  several  N-grams,  to  represent  the  combination  of  word  and  emojis.  Finally,  we  trained  our  system  with  a  tuned  LinearSVC  classifier.  Our  approach  in  the  leaderboard  ranked  18th  amongst  48  teams.
0	Imposing  label  relational  inductive  bias  for  extremely  fine  grained  entity  typing.  Existing  entity  typing  systems  usually  exploit  the  type  hierarchy  provided  by  knowledge  base  (KB)  schema  to  model  label  correlations  and  thus  improve  the  overall  performance.  Such  techniques,  however,  are  not  directly  applicable  to  more  open  and  practical  scenarios  where  the  type  set  is  not  restricted  by  KB  schema  and  includes  a  vast  number  of  free-form  types.  To  model  the  underlying  label  correlations  without  access  to  manually  annotated  label  structures,  we  introduce  a  novel  label-relational  inductive  bias,  represented  by  a  graph  propagation  layer  that  effectively  encodes  both  global  label  co-occurrence  statistics  and  word-level  similarities.  On  a  large  dataset  with  over  10,000  free-form  types,  the  graph-enhanced  model  equipped  with  an  attention-based  matching  module  is  able  to  achieve  a  much  higher  recall  score  while  maintaining  a  high-level  precision.  Specifically,  it  achieves  a  15.3%  relative  F1  improvement  and  also  less  inconsistency  in  the  outputs.  We  further  show  that  a  simple  modification  of  our  proposed  graph  layer  can  also  improve  the  performance  on  a  conventional  and  widely-tested  dataset  that  only  includes  KB-schema  types.
0	I  m  not  mad  commonsense  implications  of  negation  and  contradiction.  Natural  language  inference  requires  reasoning  about  contradictions,  negations,  and  their  commonsense  implications.  Given  a  simple  premise  (e.g.,  “I’m  mad  at  you”),  humans  can  reason  about  the  varying  shades  of  contradictory  statements  ranging  from  straightforward  negations  (“I’m  not  mad  at  you”)  to  commonsense  contradictions  (“I’m  happy”).  Moreover,  these  negated  or  contradictory  statements  shift  the  commonsense  implications  of  the  original  premise  in  interesting  and  nontrivial  ways.  For  example,  while  “I’m  mad”  implies  “I’m  unhappy  about  something,”  negating  the  premise  does  not  necessarily  negate  the  corresponding  commonsense  implications.  In  this  paper,  we  present  the  first  comprehensive  study  focusing  on  commonsense  implications  of  negated  statements  and  contradictions.  We  introduce  ANION,  a  new  commonsense  knowledge  graph  with  624K  if-then  rules  focusing  on  negated  and  contradictory  events.  We  then  present  joint  generative  and  discriminative  inference  models  for  this  new  resource,  providing  novel  empirical  insights  on  how  logical  negations  and  commonsense  contradictions  reshape  the  commonsense  implications  of  their  original  premises.
0	Unsupervised  pos  induction  with  word  embeddings.  Unsupervised  word  embeddings  have  been  shown  to  be  valuable  as  features  in  supervised  learning  problems;  however,  their  role  in  unsupervised  problems  has  been  less  thoroughly  explored.  In  this  paper,  we  show  that  embeddings  can  likewise  add  value  to  the  problem  of  unsupervised  POS  induction.  In  two  representative  models  of  POS  induction,  we  replace  multinomial  distributions  over  the  vocabulary  with  multivariate  Gaussian  distributions  over  word  embeddings  and  observe  consistent  improvements  in  eight  languages.  We  also  analyze  the  e  ect  of  various  choices  while  inducing  word  embeddings  on  “downstream”  POS  induction  results.
0	Pair2vec  compositional  word  pair  embeddings  for  cross  sentence  inference.  Reasoning  about  implied  relationships  (e.g.  paraphrastic,  common  sense,  encyclopedic)  between  pairs  of  words  is  crucial  for  many  cross-sentence  inference  problems.  This  paper  proposes  new  methods  for  learning  and  using  embeddings  of  word  pairs  that  implicitly  represent  background  knowledge  about  such  relationships.  Our  pairwise  embeddings  are  computed  as  a  compositional  function  of  each  word’s  representation,  which  is  learned  by  maximizing  the  pointwise  mutual  information  (PMI)  with  the  contexts  in  which  the  the  two  words  co-occur.  We  add  these  representations  to  the  cross-sentence  attention  layer  of  existing  inference  models  (e.g.  BiDAF  for  QA,  ESIM  for  NLI),  instead  of  extending  or  replacing  existing  word  embeddings.  Experiments  show  a  gain  of  2.7%  on  the  recently  released  SQuAD  2.0  and  1.3%  on  MultiNLI.  Our  representations  also  aid  in  better  generalization  with  gains  of  around  6-7%  on  adversarial  SQuAD  datasets,  and  8.8%  on  the  adversarial  entailment  test  set  by  Glockner  et  al.  (2018).
0	Event  detection  without  triggers.  The  goal  of  event  detection  (ED)  is  to  detect  the  occurrences  of  events  and  categorize  them.  Previous  work  solved  this  task  by  recognizing  and  classifying  event  triggers,  which  is  defined  as  the  word  or  phrase  that  most  clearly  expresses  an  event  occurrence.  As  a  consequence,  existing  approaches  required  both  annotated  triggers  and  event  types  in  training  data.  However,  triggers  are  nonessential  to  event  detection,  and  it  is  time-consuming  for  annotators  to  pick  out  the  “most  clearly”  word  from  a  given  sentence,  especially  from  a  long  sentence.  The  expensive  annotation  of  training  corpus  limits  the  application  of  existing  approaches.  To  reduce  manual  effort,  we  explore  detecting  events  without  triggers.  In  this  work,  we  propose  a  novel  framework  dubbed  as  Type-aware  Bias  Neural  Network  with  Attention  Mechanisms  (TBNNAM),  which  encodes  the  representation  of  a  sentence  based  on  target  event  types.  Experimental  results  demonstrate  the  effectiveness.  Remarkably,  the  proposed  approach  even  achieves  competitive  performances  compared  with  state-of-the-arts  that  used  annotated  triggers.
0	Semantic  structural  evaluation  for  text  simplification.  Current  measures  for  evaluating  text  simplification  systems  focus  on  evaluating  lexical  text  aspects,  neglecting  its  structural  aspects.  In  this  paper  we  propose  the  first  measure  to  address  structural  aspects  of  text  simplification,  called  SAMSA.  It  leverages  recent  advances  in  semantic  parsing  to  assess  simplification  quality  by  decomposing  the  input  based  on  its  semantic  structure  and  comparing  it  to  the  output.  SAMSA  provides  a  reference-less  automatic  evaluation  procedure,  avoiding  the  problems  that  reference-based  methods  face  due  to  the  vast  space  of  valid  simplifications  for  a  given  sentence.  Our  human  evaluation  experiments  show  both  SAMSA’s  substantial  correlation  with  human  judgments,  as  well  as  the  deficiency  of  existing  reference-based  measures  in  evaluating  structural  simplification.
0	Nlprl  iitbhu  at  semeval  2018  task  3  combining  linguistic  features  and  emoji  pre  trained  cnn  for  irony  detection  in  tweets.  This  paper  describes  our  participation  in  SemEval  2018  Task  3  on  Irony  Detection  in  Tweets.  We  combine  linguistic  features  with  pre-trained  activations  of  a  neural  network.  The  CNN  is  trained  on  the  emoji  prediction  task.  We  combine  the  two  feature  sets  and  feed  them  into  an  XGBoost  Classifier  for  classification.  Subtask-A  involves  classification  of  tweets  into  ironic  and  non-ironic  instances  whereas  Subtask-B  involves  classification  of  the  tweet  into  -  non-ironic,  verbal  irony,  situational  irony  or  other  verbal  irony.  It  is  observed  that  combining  features  from  these  two  different  feature  spaces  improves  our  system  results.  We  leverage  the  SMOTE  algorithm  to  handle  the  problem  of  class  imbalance  in  Subtask-B.  Our  final  model  achieves  an  F1-score  of  0.65  and  0.47  on  Subtask-A  and  Subtask-B  respectively.  Our  system  ranks  4th  on  both  tasks  respectively,  outperforming  the  baseline  by  6%  on  Subtask-A  and  14%  on  Subtask-B.
0	Understanding  by  understanding  not  modeling  negation  in  language  models.  Negation  is  a  core  construction  in  natural  language.  Despite  being  very  successful  on  many  tasks,  state-of-the-art  pre-trained  language  models  often  handle  negation  incorrectly.  To  improve  language  models  in  this  regard,  we  propose  to  augment  the  language  modeling  objective  with  an  unlikelihood  objective  that  is  based  on  negated  generic  sentences  from  a  raw  text  corpus.  By  training  BERT  with  the  resulting  combined  objective  we  reduce  the  mean  top  1  error  rate  to  4%  on  the  negated  LAMA  dataset.  We  also  see  some  improvements  on  the  negated  NLI  benchmarks.
0	Relation  extraction  perspective  from  convolutional  neural  networks.  Up  to  now,  relation  extraction  systems  have  made  extensive  use  of  features  generated  by  linguistic  analysis  modules.  Errors  in  these  features  lead  to  errors  of  relation  detection  and  classification.  In  this  work,  we  depart  from  these  traditional  approaches  with  complicated  feature  engineering  by  introducing  a  convolutional  neural  network  for  relation  extraction  that  automatically  learns  features  from  sentences  and  minimizes  the  dependence  on  external  toolkits  and  resources.  Our  model  takes  advantages  of  multiple  window  sizes  for  filters  and  pre-trained  word  embeddings  as  an  initializer  on  a  non-static  architecture  to  improve  the  performance.  We  emphasize  the  relation  extraction  problem  with  an  unbalanced  corpus.  The  experimental  results  show  that  our  system  significantly  outperforms  not  only  the  best  baseline  systems  for  relation  extraction  but  also  the  state-of-the-art  systems  for  relation  classification.
0	The  perfect  solution  for  detecting  sarcasm  in  tweets  not.  To  avoid  a  sarcastic  message  being  understood  in  its  unintended  literal  meaning,  in  microtexts  such  as  messages  on  Twitter.com  sarcasm  is  often  explicitly  marked  with  the  hashtag  ‘#sarcasm’.  We  collected  a  training  corpus  of  about  78  thousand  Dutch  tweets  with  this  hashtag.  Assuming  that  the  human  labeling  is  correct  (annotation  of  a  sample  indicates  that  about  85%  of  these  tweets  are  indeed  sarcastic),  we  train  a  machine  learning  classifier  on  the  harvested  examples,  and  apply  it  to  a  test  set  of  a  day’s  stream  of  3.3  million  Dutch  tweets.  Of  the  135  explicitly  marked  tweets  on  this  day,  we  detect  101  (75%)  when  we  remove  the  hashtag.  We  annotate  the  top  of  the  ranked  list  of  tweets  most  likely  to  be  sarcastic  that  do  not  have  the  explicit  hashtag.  30%  of  the  top-250  ranked  tweets  are  indeed  sarcastic.  Analysis  shows  that  sarcasm  is  often  signalled  by  hyperbole,  using  intensifiers  and  exclamations;  in  contrast,  non-hyperbolic  sarcastic  messages  often  receive  an  explicit  marker.  We  hypothesize  that  explicit  markers  such  as  hashtags  are  the  digital  extralinguistic  equivalent  of  nonverbal  expressions  that  people  employ  in  live  interaction  when  conveying  sarcasm.
0	Expanding  paraphrase  lexicons  by  exploiting  lexical  variants.  This  study  tackles  the  problem  of  paraphrase  acquisition:  achieving  high  coverage  as  well  as  accuracy.  Our  method  first  induces  paraphrase  patterns  from  given  seed  paraphrases,  exploiting  the  generality  of  paraphrases  exhibited  by  pairs  of  lexical  variants,  e.g.,  “amendment”  and  “amending,”  in  a  fully  empirical  way.  It  then  searches  monolingual  corpora  for  new  paraphrases  that  match  the  patterns.  This  can  extract  paraphrases  comprising  words  that  are  completely  different  from  those  of  the  given  seeds.  In  experiments,  our  method  expanded  seed  sets  by  factors  of  42  to  206,  gaining  84%  to  208%  more  coverage  than  a  previous  method  that  generalizes  only  identical  word  forms.  Human  evaluation  through  a  paraphrase  substitution  test  demonstrated  that  the  newly  acquired  paraphrases  retained  reasonable  quality,  given  substantially  high-quality  seeds.
0	Embedding  syntax  and  semantics  of  prepositions  via  tensor  decomposition.  Prepositions  are  among  the  most  frequent  words  in  English  and  play  complex  roles  in  the  syntax  and  semantics  of  sentences.  Not  surprisingly,  they  pose  well-known  difficulties  in  automatic  processing  of  sentences  (prepositional  attachment  ambiguities  and  idiosyncratic  uses  in  phrases).  Existing  methods  on  preposition  representation  treat  prepositions  no  different  from  content  words  (e.g.,  word2vec  and  GloVe).  In  addition,  recent  studies  aiming  at  solving  prepositional  attachment  and  preposition  selection  problems  depend  heavily  on  external  linguistic  resources  and  use  dataset-specific  word  representations.  In  this  paper  we  use  word-triple  counts  (one  of  the  triples  being  a  preposition)  to  capture  a  preposition’s  interaction  with  its  attachment  and  complement.  We  then  derive  preposition  embeddings  via  tensor  decomposition  on  a  large  unlabeled  corpus.  We  reveal  a  new  geometry  involving  Hadamard  products  and  empirically  demonstrate  its  utility  in  paraphrasing  phrasal  verbs.  Furthermore,  our  preposition  embeddings  are  used  as  simple  features  in  two  challenging  downstream  tasks:  preposition  selection  and  prepositional  attachment  disambiguation.  We  achieve  results  comparable  to  or  better  than  the  state-of-the-art  on  multiple  standardized  datasets.
0	Learning  word  embeddings  for  low  resource  languages  by  pu  learning.  Word  embedding  is  a  key  component  in  many  downstream  applications  in  processing  natural  languages.  Existing  approaches  often  assume  the  existence  of  a  large  collection  of  text  for  learning  effective  word  embedding.  However,  such  a  corpus  may  not  be  available  for  some  low-resource  languages.  In  this  paper,  we  study  how  to  effectively  learn  a  word  embedding  model  on  a  corpus  with  only  a  few  million  tokens.  In  such  a  situation,  the  co-occurrence  matrix  is  sparse  as  the  co-occurrences  of  many  word  pairs  are  unobserved.  In  contrast  to  existing  approaches  often  only  sample  a  few  unobserved  word  pairs  as  negative  samples,  we  argue  that  the  zero  entries  in  the  co-occurrence  matrix  also  provide  valuable  information.  We  then  design  a  Positive-Unlabeled  Learning  (PU-Learning)  approach  to  factorize  the  co-occurrence  matrix  and  validate  the  proposed  approaches  in  four  different  languages.
0	Discol  toward  engaging  dialogue  systems  through  conversational  line  guided  response  generation.  Having  engaging  and  informative  conversations  with  users  is  the  utmost  goal  for  open-domain  conversational  systems.  Recent  advances  in  transformer-based  language  models  and  their  applications  to  dialogue  systems  have  succeeded  to  generate  fluent  and  human-like  responses.  However,  they  still  lack  control  over  the  generation  process  towards  producing  contentful  responses  and  achieving  engaging  conversations.  To  achieve  this  goal,  we  present  DiSCoL  (Dialogue  Systems  through  Coversational  Line  guided  response  generation).  DiSCoL  is  an  open-domain  dialogue  system  that  leverages  conversational  lines  (briefly  convlines)  as  controllable  and  informative  content-planning  elements  to  guide  the  generation  model  produce  engaging  and  informative  responses.  Two  primary  modules  in  DiSCoL’s  pipeline  are  conditional  generators  trained  for  1)  predicting  relevant  and  informative  convlines  for  dialogue  contexts  and  2)  generating  high-quality  responses  conditioned  on  the  predicted  convlines.  Users  can  also  change  the  returned  convlines  to  control  the  direction  of  the  conversations  towards  topics  that  are  more  interesting  for  them.  Through  automatic  and  human  evaluations,  we  demonstrate  the  efficiency  of  the  convlines  in  producing  engaging  conversations.
0	Analyzing  the  perceived  severity  of  cybersecurity  threats  reported  on  social  media.  Breaking  cybersecurity  events  are  shared  across  a  range  of  websites,  including  security  blogs  (FireEye,  Kaspersky,  etc.),  in  addition  to  social  media  platforms  such  as  Facebook  and  Twitter.  In  this  paper,  we  investigate  methods  to  analyze  the  severity  of  cybersecurity  threats  based  on  the  language  that  is  used  to  describe  them  online.  A  corpus  of  6,000  tweets  describing  software  vulnerabilities  is  annotated  with  authors’  opinions  toward  their  severity.  We  show  that  our  corpus  supports  the  development  of  automatic  classifiers  with  high  precision  for  this  task.  Furthermore,  we  demonstrate  the  value  of  analyzing  users’  opinions  about  the  severity  of  threats  reported  online  as  an  early  indicator  of  important  software  vulnerabilities.  We  present  a  simple,  yet  effective  method  for  linking  software  vulnerabilities  reported  in  tweets  to  Common  Vulnerabilities  and  Exposures  (CVEs)  in  the  National  Vulnerability  Database  (NVD).  Using  our  predicted  severity  scores,  we  show  that  it  is  possible  to  achieve  a  Precision@50  of  0.86  when  forecasting  high  severity  vulnerabilities,  significantly  outperforming  a  baseline  that  is  based  on  tweet  volume.  Finally  we  show  how  reports  of  severe  vulnerabilities  online  are  predictive  of  real-world  exploits.
0	The  curious  case  of  hallucinations  in  neural  machine  translation.  In  this  work,  we  study  hallucinations  in  Neural  Machine  Translation  (NMT),  which  lie  at  an  extreme  end  on  the  spectrum  of  NMT  pathologies.  Firstly,  we  connect  the  phenomenon  of  hallucinations  under  source  perturbation  to  the  Long-Tail  theory  of  Feldman,  and  present  an  empirically  validated  hypothesis  that  explains  hallucinations  under  source  perturbation.  Secondly,  we  consider  hallucinations  under  corpus-level  noise  (without  any  source  perturbation)  and  demonstrate  that  two  prominent  types  of  natural  hallucinations  (detached  and  oscillatory  outputs)  could  be  generated  and  explained  through  specific  corpus-level  noise  patterns.  Finally,  we  elucidate  the  phenomenon  of  hallucination  amplification  in  popular  data-generation  processes  such  as  Backtranslation  and  sequence-level  Knowledge  Distillation.  We  have  released  the  datasets  and  code  to  replicate  our  results.
0	Structural  and  topical  dimensions  in  multi  task  patent  translation.  Patent  translation  is  a  complex  problem  due  to  the  highly  specialized  technical  vocabulary  and  the  peculiar  textual  structure  of  patent  documents.  In  this  paper  we  analyze  patents  along  the  orthogonal  dimensions  of  topic  and  textual  structure.  We  view  different  patent  classes  and  different  patent  text  sections  such  as  title,  abstract,  and  claims,  as  separate  translation  tasks,  and  investigate  the  influence  of  such  tasks  on  machine  translation  performance.  We  study  multitask  learning  techniques  that  exploit  commonalities  between  tasks  by  mixtures  of  translation  models  or  by  multi-task  metaparameter  tuning.  We  find  small  but  significant  gains  over  task-specific  training  by  techniques  that  model  commonalities  through  shared  parameters.  A  by-product  of  our  work  is  a  parallel  patent  corpus  of  23  million  German-English  sentence  pairs.
0	Process  level  representation  of  scientific  protocols  with  interactive  annotation.  We  develop  Process  Execution  Graphs  (PEG),  a  document-level  representation  of  real-world  wet  lab  biochemistry  protocols,  addressing  challenges  such  as  cross-sentence  relations,  long-range  coreference,  grounding,  and  implicit  arguments.  We  manually  annotate  PEGs  in  a  corpus  of  complex  lab  protocols  with  a  novel  interactive  textual  simulator  that  keeps  track  of  entity  traits  and  semantic  constraints  during  annotation.  We  use  this  data  to  develop  graph-prediction  models,  finding  them  to  be  good  at  entity  identification  and  local  relation  extraction,  while  our  corpus  facilitates  further  exploration  of  challenging  long-range  relations.
0	Trankit  a  light  weight  transformer  based  toolkit  for  multilingual  natural  language  processing.  We  introduce  Trankit,  a  light-weight  Transformer-based  Toolkit  for  multilingual  Natural  Language  Processing  (NLP).  It  provides  a  trainable  pipeline  for  fundamental  NLP  tasks  over  100  languages,  and  90  pretrained  pipelines  for  56  languages.  Built  on  a  state-of-the-art  pretrained  language  model,  Trankit  significantly  outperforms  prior  multilingual  NLP  pipelines  over  sentence  segmentation,  part-of-speech  tagging,  morphological  feature  tagging,  and  dependency  parsing  while  maintaining  competitive  performance  for  tokenization,  multi-word  token  expansion,  and  lemmatization  over  90  Universal  Dependencies  treebanks.  Despite  the  use  of  a  large  pretrained  transformer,  our  toolkit  is  still  efficient  in  memory  usage  and  speed.  This  is  achieved  by  our  novel  plug-and-play  mechanism  with  Adapters  where  a  multilingual  pretrained  transformer  is  shared  across  pipelines  for  different  languages.  Our  toolkit  along  with  pretrained  models  and  code  are  publicly  available  at:  https://github.com/nlp-uoregon/trankit.  A  demo  website  for  our  toolkit  is  also  available  at:  http://nlp.uoregon.edu/trankit.  Finally,  we  create  a  demo  video  for  Trankit  at:  https://youtu.be/q0KGP3zGjGc.
